,CBSA Name,Latitude,Longitude
85706,"Warner Robins, GA",32.6056,-83.5978
85790,"Dublin, GA",33.065984,-82.9582
85879,"Valdosta, GA",,
85978,"Dalton, GA",34.750638,-84.714659
87179,"Americus, GA",32.070442,-84.237132
87342,"Thomasville, GA",30.80936,-83.995448
87343,"Vidalia, GA",,
87605,"Jesup, GA",31.605471,-81.886513
87621,"Hilo, HI",19.496968,-155.497221
88075,"Urban Honolulu, HI",21.296285,-158.106144
88600,"Kapaa, HI",21.978802,-159.366928
88618,"Kahului-Wailuku-Lahaina, HI",20.886236,-156.47079
88768,"Boise City, ID",43.590999,-116.315676
89352,"Pocatello, ID",42.869358,-112.443868
89514,"Blackfoot, ID",43.051853,-112.836409
89522,"Hailey, ID",43.682963,-114.362273
89557,"Sandpoint, ID",48.274167,-116.550833
89620,"Idaho Falls, ID",43.487967,-112.044167
90280,"Burley, ID",42.028889,-113.729167
90354,"Mountain Home, ID",43.136284,-115.679252
90367,"Logan, UT-ID",42.013333,-111.809167
90443,"Twin Falls, ID",42.766016,-114.608936
90450,"Coeur d'Alene, ID",47.674305,-116.779944
90575,"Moscow, ID",46.730415,-116.995765
90710,"Rexburg, ID",43.825579,-111.78044
90714,"Lewiston, ID-WA",46.429859,-116.991871
91449,"Quincy, IL-MO",39.943102,-91.38126
91495,"Cape Girardeau, MO-IL",37.000076,-89.166731
91509,"Ottawa-Peru, IL",41.328369,-89.295088
91512,"Champaign-Urbana, IL",40.116143,-88.241438
91719,"Taylorville, IL",39.686991,-89.373144
91734,"St. Louis, MO-IL",38.646159,-89.327021
91737,"Charleston-Mattoon, IL",39.490591,-88.162262
91739,"Chicago-Naperville-Elgin, IL-IN-WI",41.670992,-87.732457
97900,"Effingham, IL",39.116153,-88.540049
97919,"Mount Vernon, IL",37.998268,-88.493158
97941,"Carbondale-Marion, IL",37.703106,-89.223417
98103,"Kankakee, IL",41.155588,-87.873932
98110,"Galesburg, IL",40.946149,-90.370684
98547,"Pontiac, IL",40.764757,-88.880902
98558,"Lincoln, IL",40.26254,-89.230923
98581,"Bloomington, IL",40.483369,-89.004244
98615,"Decatur, IL",39.851981,-88.981468
99684,"Peoria, IL",41.115592,-89.368978
99686,"Paducah, KY-IL",37.184221,-88.748944
99730,"Springfield, IL",40.009492,-89.850388
99772,"Rochelle, IL",42.074749,-89.281217
100073,"Davenport-Moline-Rock Island, IA-IL",41.514478,-90.440409
101463,"Danville, IL",40.133093,-87.616131
101477,"Sterling, IL",41.776698,-89.710941
102025,"Rockford, IL",42.267798,-89.088162
102185,"Fort Wayne, IN",41.125882,-84.919409
102531,"Columbus, IN",39.198932,-85.908293
102583,"Indianapolis-Carmel-Anderson, IN",39.997732,-86.395394
102585,"Lafayette-West Lafayette, IN",40.474203,-86.655003
102598,"Louisville/Jefferson County, KY-IN",,
102981,"Washington, IN",38.803103,-87.216124
102993,"Cincinnati, OH-KY-IN",39.043947,-84.907173
103021,"Auburn, IN",41.36366,-85.061629
103042,"Muncie, IN",,
103099,"Jasper, IN",38.225057,-86.858324
103261,"Elkhart-Goshen, IN",41.694759,-87.187537
103917,"Evansville, IN-KY",38.361443,-87.748631
103974,"Marion, IN",40.557819,-85.661367
103983,"Bloomington, IN",38.985477,-86.990419
104089,"New Castle, IN",39.943102,-85.36497
104224,"Kokomo, IN",40.496971,-86.124967
104260,"Huntington, IN",40.705044,-85.562198
104266,"Seymour, IN",38.920835,-86.080523
104323,"Madison, IN",38.840614,-85.318569
104421,"Vincennes, IN",38.833379,-87.241958
104461,"Warsaw, IN",41.327546,-85.698598
107058,"Michigan City-La Porte, IN",41.608376,-86.719467
107161,"Bedford, IN",38.741997,-86.451379
109037,"Crawfordsville, IN",39.970044,-86.830285
109760,"South Bend-Mishawaka, IN-MI",41.679183,-86.102743
110123,"Angola, IN",41.712515,-84.999928
110132,"Terre Haute, IN",39.208651,-87.553634
111392,"Wabash, IN",40.79671,-85.871376
111512,"Richmond, IN",39.829492,-84.895794
111615,"Cedar Rapids, IA",41.89741,-92.27819
111622,"Waterloo-Cedar Falls, IA",42.313618,-92.184615
111728,"Boone, IA",41.877108,-93.821958
111760,"Storm Lake, IA",42.861465,-94.982968
111793,"Mason City, IA",42.945334,-93.383864
111893,"Spencer, IA",43.159295,-95.327431
111903,"Clinton, IA",41.854363,-90.18897
112245,"Des Moines-West Des Moines, IA",41.517093,-94.228437
112306,"Burlington, IA-IL",40.808872,-91.122849
112325,"Spirit Lake, IA",43.408744,-95.127608
112330,"Dubuque, IA",42.507786,-90.663176
112572,"Omaha-Council Bluffs, NE-IA",41.666671,-96.000296
112619,"Newton, IA",41.578412,-92.846541
112622,"Fairfield, IA",40.999769,-91.973093
112629,"Iowa City, IA",41.657446,-91.537831
112690,"Fort Madison-Keokuk, IA-IL-MO",40.390361,-91.380069
114047,"Muscatine, IA",41.180051,-91.193302
114066,"Oskaloosa, IA",41.213516,-92.436126
114070,"Pella, IA",41.323614,-93.100116
114077,"Marshalltown, IA",42.005975,-92.777057
114583,"Sioux City, IA-NE-SD",42.792095,-96.169507
116394,"Ames, IA",42.028042,-93.636886
116662,"Ottumwa, IA",41.029435,-92.428343
116709,"Fort Dodge, IA",42.486113,-94.180517
116879,"Atchison, KS",39.566418,-95.118592
116888,"Great Bend, KS",38.359758,-98.771203
117020,"Wichita, KS",37.808383,-96.85864
117026,"Emporia, KS",38.434141,-96.5605
117215,"Arkansas City-Winfield, KS",37.055619,-97.035032
117221,"Pittsburg, KS",37.407006,-94.70996
117228,"St. Joseph, MO-KS",,
117242,"Lawrence, KS",38.97087,-95.235538
117258,"Hays, KS",38.868083,-99.318445
117265,"Garden City, KS",37.966146,-100.873211
117269,"Dodge City, KS",37.771964,-100.01819
117339,"Junction City, KS",39.031143,-96.842534
117419,"Topeka, KS",39.108057,-95.204693
117421,"Kansas City, MO-KS",39.033926,-94.780802
117655,"Parsons, KS",37.341729,-95.262756
117723,"McPherson, KS",38.371706,-97.670891
117735,"Coffeyville, KS",37.04451,-95.623877
118058,"Manhattan, KS",39.303919,-96.058899
118061,"Hutchinson, KS",38.055599,-97.925342
118080,"Salina, KS",38.842936,-97.611771
119647,"Liberal, KS",37.034218,-100.929873
121093,"Glasgow, KY",36.994495,-85.912199
121098,"Middlesborough, KY",36.608138,-83.714638
121224,"Huntington-Ashland, WV-KY-OH",,
122106,"Danville, KY",37.646454,-84.772703
122160,"Bowling Green, KY",37.086433,-86.967496
122180,"Murray, KY",36.732303,-88.216145
122713,"Clarksville, TN-KY",36.669526,-87.393619
122751,"Lexington-Fayette, KY",37.883672,-84.257687
122771,"Owensboro, KY",37.729493,-87.083885
123726,"Frankfort, KY",38.198112,-84.877706
123782,"Union City, TN-KY",36.504529,-88.864776
123800,"Mayfield, KY",36.738414,-88.638936
123917,"Elizabethtown-Fort Knox, KY",37.709508,-85.865516
124217,"Madisonville, KY",37.52699,-87.354167
125682,"London, KY",36.840078,-83.781006
126314,"Richmond-Berea, KY",37.566733,-84.290466
126960,"Maysville, KY",38.644493,-83.759892
126989,"Central City, KY",37.28921,-87.118052
127048,"Bardstown, KY",37.818118,-85.471891
127396,"Somerset, KY",,
127861,"Baton Rouge, LA",30.083533,-90.950098
128064,"DeRidder, LA",30.806325,-93.346292
128073,"Shreveport-Bossier City, LA",32.535293,-93.747041
128429,"Lake Charles, LA",30.152708,-93.362656
128700,"Natchez, MS-LA",31.566833,-91.425116
130403,"Alexandria, LA",31.502477,-92.460439
130678,"Ruston, LA",32.283488,-92.714874
130679,"New Orleans-Metairie, LA",29.906911,-90.073418
132807,"Lafayette, LA",30.229368,-92.00012
132862,"Houma-Thibodaux, LA",29.433553,-90.30008
132882,"Tallulah, LA",31.565444,-91.432894
132896,"Bastrop, LA",32.780163,-91.913198
135267,"Monroe, LA",32.504588,-92.112634
137360,"Morgan City, LA",29.679694,-91.177061
137909,"Hammond, LA",30.503287,-90.377212
137932,"Bogalusa, LA",30.808274,-89.866747
138040,"Lewiston-Auburn, ME",44.097736,-70.223862
138623,"Portland-South Portland, ME",44.104237,-70.697285
141697,"Augusta-Waterville, ME",44.316179,-69.767545
141884,"Rockland, ME",44.084952,-69.09188
143461,"Bangor, ME",44.801738,-68.771147
144732,"Cumberland, MD-WV",39.476141,-79.060571
144825,"Baltimore-Columbia-Towson, MD",39.211694,-76.652995
146336,"Cambridge, MD",38.570675,-76.076329
147813,"California-Lexington Park, MD",38.358929,-76.707724
147820,"Hagerstown-Martinsburg, MD-WV",39.657524,-77.698305
149285,"Barnstable Town, MA",41.551366,-70.606121
149507,"Pittsfield, MA",,
149596,"Providence-Warwick, RI-MA",,
150171,"Vineyard Haven, MA",41.330469,-70.785225
150236,"Boston-Cambridge-Newton, MA-NH",42.564539,-70.84866
151700,"Greenfield Town, MA",42.656473,-72.713426
151750,"Springfield, MA",,
155842,"Holland, MI",42.484472,-86.244476
156186,"Alpena, MI",45.068346,-83.429975
156565,"Bay City, MI",43.642501,-83.851553
156643,"Traverse City, MI",,
156661,"Niles-Benton Harbor, MI",42.115318,-86.453356
156722,"Coldwater, MI",41.930846,-84.99715
156725,"Battle Creek, MI",42.252259,-84.584132
156791,"Sault Ste. Marie, MI",46.496966,-84.351428
157136,"Lansing-East Lansing, MI",42.798339,-84.393795
157138,"Escanaba, MI",45.741664,-87.074998
157181,"Iron Mountain, MI-WI",45.805553,-88.073645
157231,"Flint, MI",43.013337,-83.685993
157476,"Alma, MI",43.386142,-84.625837
157599,"Hillsdale, MI",41.932235,-84.634638
157601,"Houghton, MI",47.118538,-88.55179
158093,"Ionia, MI",43.097532,-85.225573
158137,"Mount Pleasant, MI",43.741972,-84.752792
158143,"Jackson, MI",42.247258,-84.407735
158153,"Kalamazoo-Portage, MI",,
158463,"Grand Rapids-Wyoming, MI",42.950028,-85.613361
159252,"Detroit-Warren-Dearborn, MI",43.050305,-83.2855
159273,"Adrian, MI",41.897269,-84.024944
159538,"Marquette, MI",46.575554,-87.425288
159596,"Ludington, MI",43.958894,-86.411193
159620,"Big Rapids, MI",43.687224,-85.478831
159627,"Marinette, WI-MI",45.126651,-87.625107
159641,"Midland, MI",43.617805,-84.228322
160105,"Cadillac, MI",44.310555,-84.891865
160386,"Monroe, MI",41.88279,-83.377929
160652,"Muskegon, MI",43.235015,-86.250615
161394,"Saginaw, MI",43.453636,-83.935252
162110,"Owosso, MI",42.996971,-84.177191
162197,"Ann Arbor, MI",,
167752,"Minneapolis-St. Paul-Bloomington, MN-WI",45.19777,-93.399944
168053,"Bemidji, MN",47.471934,-94.883342
168386,"St. Cloud, MN",45.593798,-94.166353
168412,"Mankato-North Mankato, MN",44.173578,-93.992733
168422,"Duluth, MN-WI",46.707493,-92.430471
168629,"Brainerd, MN",47.159942,-94.150987
168822,"Fargo, ND-MN",46.873594,-96.771185
170426,"Alexandria, MN",45.883295,-95.380316
170591,"Albert Lea, MN",43.650235,-93.366599
170679,"Red Wing, MN",44.562217,-92.530468
174107,"Willmar, MN",45.11971,-95.049724
174825,"Marshall, MN",44.457766,-95.791414
174838,"Hutchinson, MN",44.893046,-94.371088
175224,"Austin, MN",43.668609,-92.987146
175360,"Worthington, MN",43.619159,-95.609736
175372,"Rochester, MN",44.019686,-92.456843
175621,"Fergus Falls, MN",46.281627,-96.074503
175961,"Grand Forks, ND-MN",47.929985,-97.025924
177355,"Faribault-Northfield, MN",44.291938,-93.275215
179703,"Winona, MN",44.049998,-91.625156
180130,"Corinth, MS",34.937894,-88.511153
180141,"Cleveland, MS",33.746056,-90.723028
180169,"Meridian, MS",32.1725,-88.81972
180297,"Clarksdale, MS",34.202887,-90.568432
180335,"Hattiesburg, MS",31.32389,-89.2922
180435,"Grenada, MS",33.834444,-89.792778
180586,"Gulfport-Biloxi-Pascagoula, MS",30.230363,-89.567498
182546,"Jackson, MS",32.302399,-90.185368
183417,"Laurel, MS",31.688638,-89.135115
183529,"Oxford, MS",34.363739,-89.533684
183557,"Tupelo, MS",34.261218,-88.703109
183668,"Greenwood, MS",33.522064,-90.18564
183669,"Brookhaven, MS",31.576029,-90.437597
183670,"Columbus, MS",33.491121,-88.418567
183840,"Picayune, MS",30.5295,-89.691056
183850,"McComb, MS",31.247705,-90.47482
183874,"Vicksburg, MS",,
183906,"Greenville, MS",33.406816,-91.057896
183924,"Kirksville, MO",40.188637,-92.583512
183954,"Mexico, MO",39.161984,-91.890432
183995,"Columbia, MO",38.945598,-92.330167
184174,"Poplar Bluff, MO",36.741747,-90.400935
184191,"Jefferson City, MO",38.854211,-91.947377
184367,"Springfield, MO",37.06,-93.454444
184975,"West Plains, MO",36.540619,-92.069598
185486,"Joplin, MO",37.098678,-94.616902
186025,"Hannibal, MO",39.722256,-91.373471
186124,"Maryville, MO",40.351409,-94.883587
186143,"Sedalia, MO",38.709488,-93.227973
186163,"Rolla, MO",38.953651,-91.774339
186223,"Moberly, MO",39.515312,-92.649901
186646,"Farmington, MO",37.845339,-90.50594
187061,"Sikeston, MO",36.881467,-89.581466
187293,"Branson, MO",36.6375,-93.283333
189518,"Great Falls, MT",47.494318,-111.303317
190078,"Kalispell, MT",48.366552,-114.190705
190393,"Bozeman, MT",45.666576,-111.025276
190628,"Havre, MT",48.549921,-109.675276
190629,"Helena, MT",46.567679,-111.91282
191745,"Missoula, MT",46.873535,-113.995943
193343,"Butte-Silver Bow, MT",45.994619,-112.513664
193886,"Billings, MT",45.765507,-108.575693
194210,"Hastings, NE",40.587508,-98.392036
194214,"Kearney, NE",40.697791,-99.080922
194311,"Lexington, NE",40.859451,-99.988178
194328,"Fremont, NE",41.433616,-96.496701
194765,"Beatrice, NE",40.267222,-96.750304
194844,"Grand Island, NE",40.925012,-98.339784
194872,"Lincoln, NE",40.556112,-96.630297
195154,"North Platte, NE",40.95639,-100.983205
195168,"Norfolk, NE",42.033338,-97.416997
195184,"Columbus, NE",41.43029,-97.359486
195221,"Scottsbluff, NE",41.864967,-103.664943
195449,"Fallon, NV",39.444085,-118.802097
195453,"Las Vegas-Henderson-Paradise, NV",35.982202,-114.835819
196307,"Gardnerville Ranchos, NV",38.952681,-119.778497
196359,"Elko, NV",40.83963,-115.747021
196486,"Winnemucca, NV",40.974625,-117.737907
196500,"Fernley, NV",38.985185,-119.185425
196605,"Pahrump, NV",38.879641,-117.922056
196619,"Reno, NV",39.562412,-119.51629
197294,"Carson City, NV",39.163799,-119.764903
197319,"Laconia, NH",43.683299,-71.516132
197406,"Keene, NH",42.917582,-71.999525
197470,"Berlin, NH-VT",44.470614,-71.168132
197755,"Claremont-Lebanon, NH-VT",,
197854,"Manchester-Nashua, NH",43.118027,-71.898927
198579,"Concord, NH",43.103416,-71.463402
199659,"Atlantic City-Hammonton, NJ",39.433074,-74.666265
199786,"New York-Newark-Jersey City, NY-NJ-PA",40.808434,-73.992361
201568,"Ocean City, NJ",39.100392,-74.802944
201574,"Vineland-Bridgeton, NJ",39.428076,-75.238783
203069,"Trenton, NJ",40.230841,-74.725706
206494,"Allentown-Bethlehem-Easton, PA-NJ",40.838432,-74.837389
206555,"Albuquerque, NM",35.085879,-106.645025
207766,"Roswell, NM",33.397893,-104.469402
207857,"Grants, NM",35.167279,-107.895345
207878,"Clovis, NM",34.401466,-103.207449
207881,"Las Cruces, NM",32.003712,-106.602215
208156,"Carlsbad-Artesia, NM",32.76678,-104.45052
208249,"Silver City, NM",32.75952,-108.131988
208315,"Hobbs, NM",32.416812,-103.200471
208366,"Ruidoso, NM",32.930397,-103.345776
208432,"Los Alamos, NM",35.881413,-106.319751
208505,"Deming, NM",32.267309,-107.755863
208521,"Gallup, NM",35.526134,-108.738418
208636,"Alamogordo, NM",32.899843,-105.959719
208650,"Espa¤ola, NM",35.992245,-106.089468
208943,"Farmington, NM",36.370843,-107.975065
209233,"Las Vegas, NM",35.591155,-105.230008
209235,"Santa Fe, NM",35.681975,-105.936133
209354,"Taos, NM",36.39421,-105.581676
209450,"Albany-Schenectady-Troy, NY",42.64851,-73.775963
211516,"Binghamton, NY",42.099161,-75.906012
211629,"Olean, NY",42.028058,-78.62777
211713,"Auburn, NY",42.935345,-76.569942
211720,"Jamestown-Dunkirk-Fredonia, NY",42.479224,-79.33421
211810,"Elmira, NY",,
211863,"Plattsburgh, NY",44.501992,-73.482635
211869,"Hudson, NY",42.240818,-73.644547
211893,"Cortland, NY",42.596737,-76.175762
211964,"Buffalo-Cheektowaga-Niagara Falls, NY",43.020892,-78.483913
213388,"Malone, NY",44.845251,-74.298717
213441,"Gloversville, NY",43.051926,-74.342898
213449,"Batavia, NY",43.00506,-78.176683
213472,"Utica-Rome, NY",,
213496,"Watertown-Fort Drum, NY",43.981925,-75.609879
213898,"Rochester, NY",42.87173,-77.74028
213903,"Syracuse, NY",43.083124,-75.746574
214723,"Amsterdam, NY",42.934149,-74.18456
217738,"Oneonta, NY",42.694708,-74.91403
219948,"Ogdensburg-Massena, NY",44.936086,-74.874569
220085,"Seneca Falls, NY",42.910622,-76.795233
220089,"Corning, NY",42.139796,-77.049134
220731,"Ithaca, NY",42.443684,-76.497719
220801,"Kingston, NY",41.718048,-74.386797
220873,"Glens Falls, NY",43.306366,-73.64565
221439,"Burlington, NC",36.083141,-79.419205
221467,"Hickory-Lenoir-Morganton, NC",35.922314,-81.169815
221562,"Washington, NC",35.426278,-76.739655
221599,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34.265121,-78.027781
221621,"Asheville, NC",,
222124,"Charlotte-Concord-Gastonia, NC-SC",35.411212,-80.581188
222240,"Elizabeth City, NC",36.328129,-76.174661
222245,"Morehead City, NC",34.7221,-76.707534
222722,"Durham-Chapel Hill, NC",35.717592,-79.175588
222838,"Shelby, NC",35.316772,-81.66511
222881,"New Bern, NC",35.236486,-77.134972
222892,"Fayetteville, NC",35.090382,-78.791412
223142,"Kill Devil Hills, NC",35.845637,-75.564366
223203,"Winston-Salem, NC",35.822632,-81.26314
223949,"Rocky Mount, NC",35.979321,-77.781367
224757,"Raleigh, NC",36.096189,-78.463719
224951,"Virginia Beach-Norfolk-Newport News, VA-NC",36.413684,-76.757734
224962,"Oxford, NC",36.141111,-78.768056
225040,"Greensboro-High Point, NC",,
225402,"Roanoke Rapids, NC",36.478407,-77.649705
225412,"Dunn, NC",35.306667,-78.606667
225726,"Cullowhee, NC",35.377327,-83.229047
225850,"Sanford, NC",35.48343,-79.180312
226055,"Kinston, NC",35.269542,-77.613042
226184,"Marion, NC",35.641488,-82.180403
228317,"Pinehurst-Southern Pines, NC",35.3501,-79.416985
228333,"Wilmington, NC",34.2562,-77.94725
228698,"Jacksonville, NC",34.753441,-77.431372
228811,"Greenville, NC",35.583147,-77.600263
229068,"Rockingham, NC",34.93622,-79.763664
229076,"Lumberton, NC",34.623726,-79.000864
229597,"Forest City, NC",35.333437,-81.866505
